Customer Remarks,CSAT Score,cleaned_remarks
"customer care high authority is very good and polite ,solve my problem in a good and effective manner, provide me accurate information about my quaries",5,customer care high authority good polite solve problem good effective manner provide accurate information quaries
The agent was polite and helpful..,5,agent polite helpful
Thank you for resolving my issues is your voice is amezing thank you  team ,5,thank resolving issues voice amezing thank team
"It is very disappointing that one product that i was buy a product from   and   told me that they don't help me about the same, then what should I do, should I go to somewhere else for the help.This is not done, i will put a case against you regarding the same.",1,disappointing one product buy product told help go somewhere else help not done put case regarding
Not resolve my problem,1,not resolve problem
Very bed experience from Shopzilla,1,bed experience shopzilla
No,5,no
Worst experience ever ... just giving same answers and giving next date,1,worst experience ever giving answers giving next date
Very good ??,5,good
Shopzilla is very poor service provider ??,5,shopzilla poor service provider
5,5,5
Good ,5,good
Thank you ??,5,thank
Very bad service ,1,bad service
Good ,5,good
Best customer support ??,5,best customer support
Delivery boy begs always extra money while delivery the product.,5,delivery boy begs always extra money delivery product
I need to return the product which i received on july 1 and request a return the same day and not yet done by you,5,need return product received july 1 request return day not yet done
Refund not received ,1,refund not received
Very bad behaviour ,1,bad behaviour
I want pick up your product very soon and refund my hard-earned money,3,want pick product soon refund hard earned money
"Sometimes i felt i am talking with some startup company, that has so many loopholes, Customer service people shows that they dont know anything and backend team is like a Govt Employee in some Govt Bank. I dont know how many times i have to call you guys for the same issue. Shopzilla future is very dark, better learn from SuperBuy or  , how to handle and fix the issue on time.   You ",1,sometimes felt talking startup company many loopholes customer service people shows dont know anything backend team like govt employee govt bank dont know many times call guys issue shopzilla future dark better learn superbuy handle fix issue time
Very good ,5,good
Nice delivery,5,nice delivery
Good customer support ,5,good customer support
Good,5,good
Please make changing of registered mobile numbers much simpler. Not everyone has access to old phone numbers. ,4,please make changing registered mobile numbers much simpler not everyone access old phone numbers
"Ensure to enforce policies that panelize sellers who don't list their products properly, incorrect description or misleading images",5,ensure enforce policies panelize sellers list products properly incorrect description misleading images
my issue was not resolved from past 15 days,1,issue not resolved past 15 days
Thanks for your support ?? ,5,thanks support
Thanks for slove my problem nd customer service also good ,5,thanks slove problem nd customer service also good
Very nice excellent. ......,5,nice excellent
Nice ,5,nice
Happy with Shopzilla Shopzilla and customer service.,5,happy shopzilla shopzilla customer service
Order is not delivered today ,1,order not delivered today
Nothing resolved ,1,nothing resolved
Very good consultant ??,5,good consultant
Good experience ,5,good experience
Nope ,5,nope
Nyc,5,nyc
Thank you ,5,thank
Please provide genuine product to your customer thank you ??,5,please provide genuine product customer thank
This is good person ,5,good person
No need.very poor in supporting the customer ,1,no need poor supporting customer
Very highly appreciated by the care &the same full support your better experience for the customer ,5,highly appreciated care full support better experience customer
Recieved wrong product. Not able to return,3,recieved wrong product not able return
No manners ,1,no manners
Delivered the product on time,1,delivered product time
Thank you mam,5,thank mam
Very good ,5,good
Nothing ,1,nothing
Right now not in my mind,5,right not mind
Nice talk customer agent,4,nice talk customer agent
"My right ride airbuds no pairing with my Mobile, because right side airbuds out of range only connected to 1 m range please return my order...",5,right ride airbuds no pairing mobile right side airbuds range connected 1 range please return order
Good,5,good
Good,4,good
Good ,5,good
Consultant is very polite and sincere and hearttouching,5,consultant polite sincere hearttouching
Good,5,good
Not good ,1,not good
Wrost customer care executive not interested to resolve query doing timeeeee passss only share this that executive.,5,wrost customer care executive not interested resolve query timeeeee passss share executive
All good ,5,good
Issue resolution time to be reduced ,5,issue resolution time reduced
Very good,5,good
"No thanks,I always love this app ",5,no thanks always love app
She was very good ,5,good
Great I give good rating but when my problem is resolved I give a big thanks ,4,great give good rating problem resolved give big thanks
I am tired of contacting customer service executives and not resolving the issue after contacting multiple times,4,tired contacting customer service executives not resolving issue contacting multiple times
"Ma'am is really great,my problem was solved on the fingertips.Great girl may   bless youuu.",5,really great problem solved fingertips great girl may bless youuu
